ID;Diện tích;Khoảng giá;Số phòng ngủ;Số phòng tắm, vệ sinh;Pháp lý;Nội thất;Ngày hết hạn;Mặt tiền;Gần bệnh viện;Gần chợ;Gần trường học;Cao tầng;Quy hoạch;Phường;Quận;Giá m2
1;54,0;8,5;3;4;Không rõ;Không rõ;18/03/2026;0;0;0;0;1;0;Phường 5;Gò Vấp;0,157407
2;28,4;7,0;3;3;Sổ riêng;Nội thất cơ bản;18/03/2026;1;1;1;0;1;0;Phường 4;Quận 1;0,246479
3;69,0;3,3;3;3;Sổ riêng;Không rõ;16/03/2026;1;0;1;1;1;0;Phường Long Phước;Thủ Đức;0,047826
4;78,2;6,95;3;3;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;1;0;Phường Trường Thọ;Thủ Đức;0,088875
5;75,9;6,7;2;2;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;0;1;Phường Linh Tây;Thủ Đức;0,088274
6;56,1;5,3;4;5;Sổ riêng;Full nội thất;17/03/2026;0;0;0;0;1;0;Phường Trường Thạnh;Thủ Đức;0,094474
7;61,0;8,0;2;1;Sổ riêng;Không rõ;17/03/2026;0;0;0;0;1;0;Phường 10;Quận 3;0,131148
8;58,0;3,58;2;1;Sổ riêng;Không rõ;18/03/2026;0;0;0;1;0;0;Phường Bình Chiểu;Thủ Đức;0,061724
9;83,0;13,6;10;11;Sổ riêng;Không rõ;12-03-26;0;1;1;1;1;1;Phường 13;Bình Thạnh;0,163855
10;45,0;14,9;5;5;Sổ riêng;Full nội thất;13/03/2026;1;1;0;0;1;0;Phường 4;Tân Bình;0,331111
11;46,0;10,7;4;5;Sổ riêng;Full nội thất;11-03-26;0;0;0;0;1;0;Phường 4;Tân Bình;0,232609
12;54,0;5,85;5;5;Sổ riêng;Full nội thất;09-03-26;0;0;1;0;1;0;Phường Thới An;Quận 1;0,108333
13;90,0;7,05;6;7;Sổ riêng;Full nội thất;14/03/2026;0;0;0;0;1;0;Phường Thạnh Lộc;Quận 1;0,078333
14;130,0;37,0;5;5;Sổ riêng;Full nội thất;18/03/2026;1;0;0;0;1;0;Phường 6;Quận 6;0,284615
15;60,8;5,98;4;5;Sổ riêng;Không nội thất;18/03/2026;0;0;0;0;1;0;Phường Thạnh Xuân;Quận 1;0,098355
16;80,0;24,5;3;3;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 9;Quận 1;0,30625
17;56,0;6,5;3;3;Sổ riêng;Không rõ;13/03/2026;0;0;1;1;1;0;Phường Trường Thọ;Thủ Đức;0,116071
